29423452	0	total (QC-passed reads + QC-failed reads)
29385498	0	primary
0	0	secondary
37954	0	supplementary
0	0	duplicates
0	0	primary duplicates
29180521	0	mapped
99.17%	N/A	mapped %
29142567	0	primary mapped
99.17%	N/A	primary mapped %
29385498	0	paired in sequencing
14692749	0	read1
14692749	0	read2
28509944	0	properly paired
97.02%	N/A	properly paired %
29141722	0	with itself and mate mapped
845	0	singletons
0.00%	N/A	singletons %
26950	0	with mate mapped to a different chr
21361	0	with mate mapped to a different chr (mapQ>=5)
