locus_tag	ftype	length_bp	gene	EC_number	COG	product
HDIIENPN_00001	CDS	348				hypothetical protein
HDIIENPN_00002	CDS	216				hypothetical protein
HDIIENPN_00003	CDS	339				hypothetical protein
HDIIENPN_00004	CDS	231				hypothetical protein
HDIIENPN_00005	CDS	342	mazF	3.1.27.-	COG2337	Endoribonuclease toxin MazF
HDIIENPN_00006	CDS	186				hypothetical protein
HDIIENPN_00007	CDS	195				hypothetical protein
HDIIENPN_00008	CDS	831	ydbD	1.11.1.6	COG3546	putative manganese catalase
HDIIENPN_00009	CDS	1335	araN_1		COG1653	putative arabinose-binding protein
HDIIENPN_00010	CDS	912	lacF_1			Lactose transport system permease protein LacF
HDIIENPN_00011	CDS	855	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
HDIIENPN_00012	CDS	618				hypothetical protein
HDIIENPN_00013	CDS	519				hypothetical protein
HDIIENPN_00014	CDS	459				hypothetical protein
HDIIENPN_00015	CDS	4038				hypothetical protein
HDIIENPN_00016	CDS	1314				hypothetical protein
HDIIENPN_00017	CDS	1698				hypothetical protein
HDIIENPN_00018	CDS	894				hypothetical protein
HDIIENPN_00019	CDS	675	graR		COG0745	Response regulator protein GraR
HDIIENPN_00020	CDS	1026	graS	2.7.13.3	COG0642	Sensor histidine kinase GraS
HDIIENPN_00021	CDS	867	glcU_1		COG4975	putative glucose uptake protein GlcU
HDIIENPN_00022	CDS	1377	yhdG		COG0531	putative amino acid permease YhdG
HDIIENPN_00023	CDS	1197				TelA-like protein
HDIIENPN_00024	CDS	663				hypothetical protein
HDIIENPN_00025	CDS	564	act	3.-.-.-		Methanol dehydrogenase activator
HDIIENPN_00026	CDS	285				hypothetical protein
HDIIENPN_00027	CDS	693	mtnN	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
HDIIENPN_00028	CDS	546				hypothetical protein
HDIIENPN_00029	CDS	3279				hypothetical protein
HDIIENPN_00030	CDS	1908	pepO	3.4.24.-	COG3590	Neutral endopeptidase
HDIIENPN_00031	CDS	876				hypothetical protein
HDIIENPN_00032	CDS	975	prs2	2.7.6.1		Putative ribose-phosphate pyrophosphokinase 2
HDIIENPN_00033	CDS	1137	iscS_1	2.8.1.7		Cysteine desulfurase IscS
HDIIENPN_00034	CDS	345				hypothetical protein
HDIIENPN_00035	CDS	1287				hypothetical protein
HDIIENPN_00036	CDS	600				hypothetical protein
HDIIENPN_00037	CDS	1122	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
HDIIENPN_00038	CDS	1422	arcD1_1		COG0531	Arginine/ornithine antiporter ArcD1
HDIIENPN_00039	CDS	1119	vioD	4.2.1.145		Capreomycidine synthase
HDIIENPN_00040	CDS	1293	sbnD_1			Staphyloferrin B transporter
HDIIENPN_00041	CDS	561				hypothetical protein
HDIIENPN_00042	CDS	378				hypothetical protein
