# BUSCO version is: 5.5.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	contig_1_pilon	76739	80392	-	1723.6	1051	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	contig_1_pilon	80471	84088	-	1301.9	857	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	contig_2_pilon	652211	654433	-	362.7	412	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	contig_2_pilon	513546	516188	-	566.1	589	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	contig_2_pilon	215812	217806	+	757.9	474	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	contig_2_pilon	625251	627080	-	537.5	438	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	contig_2_pilon	327432	329267	+	754.0	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	contig_1_pilon	131799	133133	+	309.5	264	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	contig_2_pilon	722894	724972	-	525.6	471	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	contig_2_pilon	1103043	1104812	-	596.9	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	contig_1_pilon	146831	148123	+	330.8	291	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	contig_2_pilon	650787	652226	-	276.1	283	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	contig_1_pilon	116396	117667	+	414.6	331	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	contig_2_pilon	188784	189959	+	188.6	210	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	contig_1_pilon	465356	466612	+	320.0	286	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	contig_1_pilon	1227275	1228681	+	567.5	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	contig_1_pilon	1207060	1208250	+	168.3	204	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	contig_2_pilon	575870	576913	-	426.8	294	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Duplicated	contig_1_pilon	170881	172446	-	303.9	234	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
504464at2	Duplicated	contig_10_pilon	112566	114179	-	301.6	233	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	contig_2_pilon	1315610	1316980	-	219.3	233	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
