Assembly	pilon
# contigs (>= 0 bp)	11
# contigs (>= 1000 bp)	11
# contigs (>= 5000 bp)	10
# contigs (>= 10000 bp)	10
# contigs (>= 25000 bp)	7
# contigs (>= 50000 bp)	4
Total length (>= 0 bp)	3190116
Total length (>= 1000 bp)	3190116
Total length (>= 5000 bp)	3186441
Total length (>= 10000 bp)	3186441
Total length (>= 25000 bp)	3142519
Total length (>= 50000 bp)	3044718
# contigs	11
Largest contig	1414516
Total length	3190116
Reference length	2919198
GC (%)	37.71
Reference GC (%)	37.88
N50	1362697
NG50	1362697
N75	1362697
NG75	1362697
L50	2
LG50	2
L75	2
LG75	2
# misassemblies	190
# misassembled contigs	2
Misassembled contigs length	2777213
# local misassemblies	37
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	6
# unaligned contigs	2 + 9 part
Unaligned length	591173
Genome fraction (%)	84.952
Duplication ratio	1.048
# N's per 100 kbp	0.00
# mismatches per 100 kbp	398.60
# indels per 100 kbp	15.04
Largest alignment	137660
Total aligned length	2597046
NA50	24276
NGA50	29114
NA75	2923
NGA75	10307
LA50	32
LGA50	27
LA75	97
LGA75	66
