# BUSCO version is: 5.5.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	NODE_2_length_557694_cov_53.071509	50611	54264	-	1723.6	1051	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	NODE_2_length_557694_cov_53.071509	54343	57960	-	1301.9	857	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	NODE_1_length_2027623_cov_44.190275	1474385	1476607	-	362.7	412	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	NODE_1_length_2027623_cov_44.190275	1335720	1338362	-	566.1	589	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	NODE_1_length_2027623_cov_44.190275	1037986	1039980	+	757.9	474	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	NODE_1_length_2027623_cov_44.190275	1447425	1449254	-	537.5	438	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	NODE_1_length_2027623_cov_44.190275	1149606	1151441	+	754.0	491	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	NODE_2_length_557694_cov_53.071509	105670	107004	+	309.5	264	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	NODE_1_length_2027623_cov_44.190275	1545068	1547146	-	525.6	471	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	NODE_1_length_2027623_cov_44.190275	1925215	1926984	-	596.9	472	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	NODE_2_length_557694_cov_53.071509	120702	121994	+	330.8	291	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	NODE_1_length_2027623_cov_44.190275	1472961	1474400	-	276.1	283	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	NODE_2_length_557694_cov_53.071509	90267	91538	+	414.6	331	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	NODE_1_length_2027623_cov_44.190275	1010958	1012133	+	188.6	210	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	NODE_2_length_557694_cov_53.071509	439227	440483	+	320.0	286	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	NODE_1_length_2027623_cov_44.190275	642959	644365	+	567.5	359	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	NODE_1_length_2027623_cov_44.190275	622744	623934	+	168.3	204	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	NODE_1_length_2027623_cov_44.190275	1398044	1399087	-	426.8	294	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Duplicated	NODE_2_length_557694_cov_53.071509	144752	146317	-	303.9	234	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
504464at2	Duplicated	NODE_3_length_223476_cov_101.276715	99248	100861	-	301.6	233	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	NODE_4_length_140172_cov_37.161829	71730	73100	-	219.3	233	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	NODE_1_length_2027623_cov_44.190275	624909	626207	+	387.2	286	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	NODE_2_length_557694_cov_53.071509	180363	181301	+	259.6	228	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	NODE_1_length_2027623_cov_44.190275	1004038	1005747	+	796.7	543	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	NODE_1_length_2027623_cov_44.190275	428350	430359	+	219.4	303	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	NODE_1_length_2027623_cov_44.190275	1572395	1573075	-	259.9	203	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	NODE_1_length_2027623_cov_44.190275	640464	642020	+	666.5	406	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	NODE_1_length_2027623_cov_44.190275	157800	158735	+	164.1	212	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	NODE_2_length_557694_cov_53.071509	254186	255187	+	414.8	272	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	NODE_1_length_2027623_cov_44.190275	1471886	1472938	-	438.9	313	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	NODE_1_length_2027623_cov_44.190275	1468489	1469763	-	596.4	417	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	NODE_1_length_2027623_cov_44.190275	1068664	1069953	+	91.5	211	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	NODE_2_length_557694_cov_53.071509	169561	170394	+	233.3	171	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	NODE_1_length_2027623_cov_44.190275	1100703	1101869	+	254.2	250	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	NODE_1_length_2027623_cov_44.190275	714064	714963	+	236.1	217	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	NODE_1_length_2027623_cov_44.190275	273639	274880	+	253.5	228	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	NODE_8_length_29580_cov_57.183878	26799	27992	-	441.9	307	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	NODE_1_length_2027623_cov_44.190275	589810	591588	+	277.7	317	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	NODE_1_length_2027623_cov_44.190275	999455	1000177	+	161.3	153	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	NODE_1_length_2027623_cov_44.190275	1469779	1471314	-	599.9	436	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	NODE_1_length_2027623_cov_44.190275	39915	41036	+	467.9	329	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Complete	NODE_1_length_2027623_cov_44.190275	523295	524212	+	153.2	180	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	NODE_1_length_2027623_cov_44.190275	259822	261504	+	299.7	410	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	NODE_4_length_140172_cov_37.161829	54903	55952	-	391.2	260	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	NODE_1_length_2027623_cov_44.190275	268425	269786	+	316.1	356	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	NODE_2_length_557694_cov_53.071509	171099	171755	+	206.2	160	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	NODE_1_length_2027623_cov_44.190275	267449	268411	+	254.8	255	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
